181,     -5,    -12,    -23,    -38,    -55,    -72,    -89,   -103,
     -113,   -118,   -116,   -108,    -92,    -70,    -42,    -10,     24,
       58,     89,    115,    134,    145,    147,    139,    122,     99,
       69,     37,      4,    -26,    -52,    -69,    -78,    -77,    -67,
      -48,    -23,      7,     38,     66,     90,    105,    110,    103,
       84,     55,     16,    -29,    -76,   -123,   -164,   -196,   -217,
     -223,   -214,   -191,   -154,   -107,    -53,      4,     58,    106,
      143,    166,    173,    165,    141,    105,     60,     11,    -37,
      -79,   -111,   -129,   -129,   -112,    -78,    -29,     31,     96,
      161,    220,    267,    298,    308,    296,    261,    207,    136,
       54,    -33,   -118,   -194,   -254,   -295,   -314,   -308,   -279,
     -231,   -168,    -96,    -24,     41,     94,    128,    139,    126,
       89,     33,    -39,   -119,   -198,   -269,   -324,   -355,   -358,
     -331,   -273,   -188,    -81,     41,    167,    288,    394,    477,
      529,    547,    530,    479,    399,    299,    188,     76,    -24,
     -104,   -155,   -172,   -153,   -100,    -19,     80,    187,    288,
      369,    417,    421,    373,    269,    111,    -94,   -337,   -600,
     -867,  -1115,  -1326,  -1478,  -1555,  -1546,  -1444,  -1248,   -965,
     -608,   -194,    251,    703,   1134,   1517,   1828,   2048,   2161,
     2161,   2048,   1828,   1517,   1134,    703,    251,   -194,   -608,
     -965,  -1248,  -1444,  -1546,  -1555,  -1478,  -1326,  -1115,   -867,
     -600,   -337,    -94,    111,    269,    373,    421,    417,    369,
      288,    187,     80,    -19,   -100,   -153,   -172,   -155,   -104,
      -24,     76,    188,    299,    399,    479,    530,    547,    529,
      477,    394,    288,    167,     41,    -81,   -188,   -273,   -331,
     -358,   -355,   -324,   -269,   -198,   -119,    -39,     33,     89,
      126,    139,    128,     94,     41,    -24,    -96,   -168,   -231,
     -279,   -308,   -314,   -295,   -254,   -194,   -118,    -33,     54,
      136,    207,    261,    296,    308,    298,    267,    220,    161,
       96,     31,    -29,    -78,   -112,   -129,   -129,   -111,    -79,
      -37,     11,     60,    105,    141,    165,    173,    166,    143,
      106,     58,      4,    -53,   -107,   -154,   -191,   -214,   -223,
     -217,   -196,   -164,   -123,    -76,    -29,     16,     55,     84,
      103,    110,    105,     90,     66,     38,      7,    -23,    -48,
      -67,    -77,    -78,    -69,    -52,    -26,      4,     37,     69,
       99,    122,    139,    147,    145,    134,    115,     89,     58,
       24,    -10,    -42,    -70,    -92,   -108,   -116,   -118,   -113,
     -103,    -89,    -72,    -55,    -38,    -23,    -12,     -5,    181
